date,product,stations,price
2022-10-10,unleaded95,4428,2.01
2022-10-07,unleaded95,4418,1.994
2022-10-06,unleaded95,4381,1.99
2022-10-05,unleaded95,4334,1.987
2022-10-04,unleaded95,4258,1.983
2022-10-03,unleaded95,4167,1.978
2022-09-30,unleaded95,4083,1.958
2022-09-29,unleaded95,4116,1.951
2022-09-28,unleaded95,4203,1.95
2022-09-27,unleaded95,4210,1.949
2022-09-26,unleaded95,4250,1.95
2022-09-23,unleaded95,4402,1.953
2022-09-22,unleaded95,4440,1.955
2022-09-19,unleaded95,4445,1.955
2022-09-16,unleaded95,4456,1.956
2022-09-15,unleaded95,4436,1.957
2022-09-14,unleaded95,4427,1.96
2022-09-13,unleaded95,4400,1.964
2022-09-12,unleaded95,4380,1.97
2022-09-09,unleaded95,4419,1.982
2022-09-07,unleaded95,4399,1.993
2022-09-06,unleaded95,4356,2.001
2022-09-05,unleaded95,4300,2.042
2022-09-02,unleaded95,4295,2.049
2022-08-31,unleaded95,4259,2.052
2022-08-30,unleaded95,4221,2.052
2022-08-29,unleaded95,4206,2.053
2022-08-26,unleaded95,4357,2.051
2022-08-24,unleaded95,4460,2.045
2022-08-23,unleaded95,4451,2.043
2022-08-19,unleaded95,4565,2.043
2022-08-17,unleaded95,4544,2.043
2022-08-12,unleaded95,4591,2.051
2022-08-11,unleaded95,4602,2.061
2022-08-09,unleaded95,4555,2.087
2022-08-05,unleaded95,4573,2.141
2022-08-02,unleaded95,4569,2.154
2022-08-08,unleaded95,4583,2.158
2022-07-25,unleaded95,4559,2.197
,unleaded95,4585,2.238
2022-07-21,unleaded95,4574,2.255
2022-07-18,unleaded95,4526,2.315
2022-07-14,unleaded95,4489,2.335
2022-07-13,unleaded95,4463,2.338
2022-07-11,unleaded95,4370,2.355
2022-07-06,unleaded95,4329,2.391
2022-07-05,unleaded95,4280,2.392
2022-07-01,unleaded95,4397,2.399
2022-06-30,unleaded95,4457,2.399
2022-06-29,unleaded95,4462,2.399
2022-06-28,unleaded95,4510,2.401
2022-06-24,unleaded95,4637,2.406
2022-06-23,unleaded95,4643,2.413
2022-06-22,unleaded95,4650,2.418
